time(s);battery;obc;eps;communication;sdatf;slp;smdh
410;2,2167933;On;On;Receiver;Off;Off;Off
411;2,21629;On;On;Receiver;Off;Off;Off
412;2,2157867;On;On;Receiver;Off;Off;Off
413;2,2152834;On;On;Receiver;Off;Off;Off
414;2,21478;On;On;Receiver;Off;Off;Off
415;2,2142766;On;On;Receiver;Off;Off;Off
416;2,2137733;On;On;Receiver;Off;Off;Off
417;2,21327;On;On;Receiver;Off;Off;Off
418;2,2127666;On;On;Receiver;Off;Off;Off
419;2,2122633;On;On;Receiver;Off;Off;Off
420;2,21176;On;On;Receiver;Off;Off;Off
421;2,2112567;On;On;Receiver;Off;Off;Off
422;2,2107534;On;On;Receiver;Off;Off;Off
423;2,21025;On;On;Receiver;Off;Off;Off
424;2,2097466;On;On;Receiver;Off;Off;Off
425;2,2092433;On;On;Receiver;Off;Off;Off
426;2,20874;On;On;Receiver;Off;Off;Off
427;2,2082367;On;On;Receiver;Off;Off;Off
428;2,2077334;On;On;Receiver;Off;Off;Off
429;2,20723;On;On;Receiver;Off;Off;Off
430;2,2067266;On;On;Receiver;Off;Off;Off
431;2,2062232;On;On;Receiver;Off;Off;Off
432;2,20572;On;On;Receiver;Off;Off;Off
433;2,2052166;On;On;Receiver;Off;Off;Off
434;2,2047133;On;On;Receiver;Off;Off;Off
435;2,20421;On;On;Receiver;Off;Off;Off
436;2,2037067;On;On;Receiver;Off;Off;Off
437;2,2032034;On;On;Receiver;Off;Off;Off
438;2,2027;On;On;Receiver;Off;Off;Off
439;2,2021966;On;On;Receiver;Off;Off;Off
440;2,2016933;On;On;Receiver;Off;Off;Off
441;2,20119;On;On;Receiver;Off;Off;Off
442;2,2006867;On;On;Receiver;Off;Off;Off
443;2,2001834;On;On;Receiver;Off;Off;Off
444;2,19968;On;On;Receiver;Off;Off;Off
445;2,1991765;On;On;Receiver;Off;Off;Off
446;2,1986732;On;On;Receiver;Off;Off;Off
447;2,19817;On;On;Receiver;Off;Off;Off
448;2,1976666;On;On;Receiver;Off;Off;Off
449;2,1971633;On;On;Receiver;Off;Off;Off
450;2,19666;On;On;Receiver;Off;Off;Off
451;2,1961567;On;On;Receiver;Off;Off;Off
452;2,1956534;On;On;Receiver;Off;Off;Off
453;2,19515;On;On;Receiver;Off;Off;Off
454;2,1946466;On;On;Receiver;Off;Off;Off
455;2,1941433;On;On;Receiver;Off;Off;Off
456;2,19364;On;On;Receiver;Off;Off;Off
457;2,1931367;On;On;Receiver;Off;Off;Off
458;2,1926334;On;On;Receiver;Off;Off;Off
459;2,19213;On;On;Receiver;Off;Off;Off
460;2,1916265;On;On;Receiver;Off;Off;Off
461;2,1911232;On;On;Receiver;Off;Off;Off
462;2,19062;On;On;Receiver;Off;Off;Off
463;2,1901166;On;On;Receiver;Off;Off;Off
464;2,1896133;On;On;Receiver;Off;Off;Off
465;2,18911;On;On;Receiver;Off;Off;Off
466;2,1886067;On;On;Receiver;Off;Off;Off
467;2,1881034;On;On;Receiver;Off;Off;Off
468;2,1876;On;On;Receiver;Off;Off;Off
469;2,1870966;On;On;Receiver;Off;Off;Off
470;2,1865933;On;On;Receiver;Off;Off;Off
471;2,18609;On;On;Receiver;Off;Off;Off
472;2,1855867;On;On;Receiver;Off;Off;Off
473;2,1850834;On;On;Receiver;Off;Off;Off
474;2,18458;On;On;Receiver;Off;Off;Off
475;2,1840765;On;On;Receiver;Off;Off;Off
476;2,1835732;On;On;Receiver;Off;Off;Off
477;2,18307;On;On;Receiver;Off;Off;Off
478;2,1825666;On;On;Receiver;Off;Off;Off
479;2,1820633;On;On;Receiver;Off;Off;Off
480;2,18156;On;On;Receiver;Off;Off;Off
481;2,1810567;On;On;Receiver;Off;Off;Off
482;2,1805534;On;On;Receiver;Off;Off;Off
483;2,18005;On;On;Receiver;Off;Off;Off
484;2,1795466;On;On;Receiver;Off;Off;Off
485;2,1790433;On;On;Receiver;Off;Off;Off
486;2,17854;On;On;Receiver;Off;Off;Off
487;2,1780367;On;On;Receiver;Off;Off;Off
488;2,1775334;On;On;Receiver;Off;Off;Off
489;2,17703;On;On;Receiver;Off;Off;Off
490;2,1765268;On;On;Receiver;Off;Off;Off
491;2,1760232;On;On;Receiver;Off;Off;Off
